timestamp,rx_bytes,tx_bytes,rx_packets,tx_packets
16:35:29,158891583,157811035,162999,161990
16:35:30,175059018,173682759,179549,178257
16:35:31,169182138,167858360,173610,172212
16:35:32,119581118,119378686,122754,122530
16:35:33,161708994,160269818,165888,164504
16:35:34,2492909,3251784,2604,3325
16:35:35,27963980,27964295,28862,28947
16:35:36,161678788,161294845,165867,165571
16:35:37,158133141,157819740,162320,161977
16:35:38,165123380,163112305,170044,167928
16:35:39,129629014,129413921,133014,132708
16:35:40,143717589,142036627,147448,145870
16:35:41,159662098,158338544,163896,162517
16:35:42,166706399,165394752,171079,169754
16:35:43,143736224,142994200,147525,146782
16:35:44,164849545,164527260,169182,168788
16:35:45,152081132,150400075,156037,154450
16:35:46,174184089,172768679,178696,177206
16:35:47,138860760,138603160,142566,142332
16:35:48,158438978,157449703,162162,161518
16:35:49,163907865,164263359,168250,168521
16:35:50,183865709,182128611,188645,186929
16:35:51,157665626,157809981,161956,161880
16:35:52,158493309,157823302,162640,161994
16:35:53,142669628,140871443,146237,144580
16:35:54,163882201,162031267,168137,166247
16:35:55,146052792,145423417,149964,149441
16:35:56,167678707,168052655,172173,172458
16:35:57,139310703,138581220,142850,142202
16:35:58,138093577,136824403,141150,140424
16:35:59,126463295,126248527,129801,129556
16:36:00,126409190,126248018,129686,129488
16:36:01,152197117,150758326,156098,155348
16:36:02,158892592,159446157,163123,163482
16:36:03,154713635,154558131,158938,158880
16:36:04,126516761,126249006,129817,129612
16:36:05,158078683,157809801,162189,161823
16:36:06,158025080,157810524,162142,161931
16:36:07,151460327,151994728,155405,155914
16:36:08,145051066,145837359,148942,149669
16:36:09,174877798,175611446,179419,180216
16:36:10,126463005,126248149,129747,129502
16:36:11,189640887,189371653,194619,194185
16:36:12,158080752,157824175,162295,161933
16:36:13,158079212,157810576,162258,161926
16:36:14,126516799,126248536,129811,129544
16:36:15,158078934,157810368,162239,161904
16:36:16,158078826,157810660,162234,161941
16:36:17,160476046,160466230,165235,165232
16:36:18,149779157,150399222,153685,154325
16:36:19,173853747,174639584,178385,179042
16:36:20,140913674,141951565,145105,145833
16:36:21,155528421,154259453,159499,158312
16:36:22,158132275,157821269,162210,161860
16:36:23,163741274,164526591,168138,168701
16:36:24,152363227,151093646,156319,155031
16:36:25,153305826,151919752,157203,156546
16:36:26,150518433,149935351,154520,154732
16:36:27,138238580,136668344,141433,140217
16:36:28,177623863,176827976,181846,181384
16:36:29,5881377,5827631,6094,6036
16:36:30,28050909,28167647,28946,29104
16:36:31,161360127,161207304,165631,165398
16:36:32,158852499,158181073,163052,162298
16:36:33,152417315,152149116,156415,156151
16:36:34,157212160,156997543,161347,161111
16:36:35,150953840,149345256,154952,153237
16:36:36,165489721,164166627,169784,168466
16:36:37,158079149,157822601,162228,161919
16:36:38,158133513,157811126,162297,161895
16:36:39,158025335,157810951,162134,161941
16:36:40,174531912,172627440,179065,177140
16:36:41,129376192,130742761,132874,134041
16:36:42,138767998,138871680,142502,142432
16:36:43,176579631,176669921,181226,180945
16:36:44,138805562,138498591,142505,142099
16:36:45,176378465,176847277,180954,181346
16:36:46,154248449,155171732,158343,159112
16:36:48,140571017,140368434,144297,144088
16:36:49,114900675,114972448,118509,118539
16:36:50,131236536,132075953,134859,135557
16:36:51,126462781,126248421,129738,129545
16:36:52,154361460,153038671,158317,157054
16:36:53,159147308,158169945,163355,162362
16:36:54,168372190,168050013,172838,172457
16:36:55,171464532,172096689,176028,176639
16:36:56,163907262,164693240,168415,169027
16:36:57,140752683,140940282,144528,144724
16:36:58,159662345,160460578,163906,164678
