#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 19:47:48      0    100     53      0      0      0      0    332   1811 
 19:47:49      0    100     88      0      0      0      0    738   1073 
 19:47:50      0    100     66      0      0      0      0    959    153 
 19:47:51      0    100     63      0      0      0      0   1125    181 
 19:47:52      0    100     64      0      0      0      0   1544    202 
 19:47:53      0     99     64      0      0      0      0   1780    189 
 19:47:54      0     88     52      0      0      0      0     13      5 
 19:47:55      0    100     36      0      0      0      0     22      7 
 19:47:56      0    100     90      0      0      0      0    249   1313 
 19:47:57      0    100     88      0      0      0      0    196    442 
#Time        gpu     sm    mem    enc    dec    jpg    ofa  rxpci  txpci 
#HH:MM:SS    Idx      %      %      %      %      %      %   MB/s   MB/s 
 19:47:58      0    100     74      0      0      0      0    957    162 
 19:47:59      0     49      3      0      0      0      0     19      6 
 19:48:01      0     98     56      0      0      0      0      4      0 
 19:48:02      0    100     84      0      0      0      0   1143     89 
 19:48:03      0    100     62      0      0      0      0   1317    150 
 19:48:04      0    100     66      0      0      0      0   1229    123 
 19:48:05      0     99     59      0      0      0      0   1648    228 
 19:48:06      0     99     55      0      0      0      0   1392    224 
 19:48:07      0    100     83      0      0      0      0    480    197 
 19:48:08      0     91      3      0      0      0      0     13      6 
 19:48:09      0    100     77      0      0      0      0     21      6 
 19:48:10      0     99     53      0      0      0      0    576      7 
 19:48:11      0    100     80      0      0      0      0   1166   1548 
 19:48:12      0    100     89      0      0      0      0   1799   2898 
 19:48:13      0    100     73      0      0      0      0   1341    139 
 19:48:14      0    100     76      0      0      0      0   1000    240 
 19:48:15      0    100     68      0      0      0      0   1141    137 
 19:48:16      0     95     58      0      0      0      0   1895    210 
 19:48:17      0    100     83      0      0      0      0   1371    310 
 19:48:19      0     96     63      0      0      0      0   1908    226 
 19:48:20      0     99     62      0      0      0      0   1244   2010 
 19:48:21      0     96     56      0      0      0      0     18      6 
 19:48:22      0     99     58      0      0      0      0   1532    230 
 19:48:23      0     97     49      0      0      0      0   1390    207 
 19:48:24      0     87     63      0      0      0      0     15      5 
 19:48:25      0     99     25      0      0      0      0     18      6 
 19:48:26      0    100     81      0      0      0      0   1255     22 
 19:48:27      0    100     74      0      0      0      0   2140   2650 
 19:48:28      0    100     88      0      0      0      0   1315    121 
 19:48:29      0    100     76      0      0      0      0    822    156 
 19:48:30      0    100     71      0      0      0      0   1169    128 
 19:48:31      0     99     55      0      0      0      0   1403    221 
 19:48:32      0     99     56      0      0      0      0   2342    213 
 19:48:33      0    100     73      0      0      0      0   1871    239 
 19:48:34      0     86     50      0      0      0      0     13      4 
 19:48:35      0     99     36
