Wall time,Step,Value
1712350382.6727057,299,11677.0
1712350383.2158723,300,11375.0
1712350383.766052,301,11157.0
1712350384.3040683,302,11250.0
1712350384.8443837,303,11249.0
1712350385.3840907,304,11238.0
1712350385.926268,305,11230.0
1712350386.466244,306,11262.0
1712350387.0039825,307,11532.0
1712350387.5458343,308,11248.0
1712350388.0860462,309,11232.0
1712350388.626218,310,11249.0
1712350389.1758916,311,11183.0
1712350389.7309606,312,11543.0
1712350390.2666328,313,11192.0
1712350390.8140273,314,11228.0
1712350391.3558671,315,11215.0
1712350391.8958313,316,11235.0
1712350392.4340205,317,11332.0
1712350392.965853,318,11282.0
1712350393.5211606,319,11192.0
1712350394.0726433,320,11670.0
1712350394.6448953,321,11393.0
1712350395.1862013,322,11257.0
1712350395.723997,323,11255.0
1712350396.2561333,324,11261.0
1712350396.7998137,325,11228.0
1712350397.3539715,326,11367.0
1712350397.9244115,327,11908.0
1712350398.4355195,328,11908.0
1712350398.7436883,329,12727.0
